"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"1";"Abarema jupunba";585,142857142857;NA
"2";"Abarema macradenia";438;NA
"3";"Abies alba";353;NA
"4";"Abies amabilis";400;NA
"5";"Abies arizonica";289;NA
"6";"Abies balsamea";330;NA
"7";"Abies concolor";370;NA
"8";"Abies delavayi";400;NA
"9";"Abies ernestii";360;NA
"10";"Abies fabri";373;NA
"11";"Abies fargesii";340;NA
"12";"Abies faxoniana";385;NA
"13";"Abies forrestii";350;NA
"14";"Abies georgei";433;NA
"15";"Abies grandis";350;NA
"16";"Abies guatemalensis";430;NA
"17";"Abies holophylla";336;NA
"18";"Abies lasiocarpa";310;NA
"19";"Abies magnifica";360;NA
"20";"Abies nephrolepis";323,5;NA
"21";"Abies pindrow";380;NA
"22";"Abies pinsapo";410;NA
"23";"Abies procera";370;NA
"24";"Abies religiosa";380;NA
"25";"Abuta rufescens";450;NA
"26";"Acacia acradenia";904;NA
"27";"Acacia acuminata";951,5;NA
"28";"Acacia adsurgens";887;NA
"29";"Acacia albicorticata";490;NA
"30";"Acacia alleniana";560;NA
"31";"Acacia ampliceps";568;NA
"32";"Acacia amythethophylla";1007;NA
"33";"Acacia aneura";979,888888888889;NA
"34";"Acacia angustissima";850;NA
"35";"Acacia arabica";860;NA
"36";"Acacia aroma";808;NA
"37";"Acacia atkinsiana";890;NA
"38";"Acacia aulacocarpa";655;NA
"39";"Acacia auriculiformis";680;NA
"40";"Acacia bakeri";771;NA
"41";"Acacia bidwillii";670;NA
"42";"Acacia bivenosa";635;NA
"43";"Acacia brachystachya";990;NA
"44";"Acacia cambagei";1083;NA
"45";"Acacia catechu";801;NA
"46";"Acacia caven";782,5;NA
"47";"Acacia chisholmii";793,5;NA
"48";"Acacia chundra";980;NA
"49";"Acacia citrinoviridis";845;NA
"50";"Acacia cochliacantha";940;NA
"51";"Acacia colei";688;NA
"52";"Acacia collinsii";800;NA
"53";"Acacia concurrens";758;NA
"54";"Acacia confusa";732,25;NA
"55";"Acacia coriacea";938;NA
"56";"Acacia craspedocarpa";887;NA
"57";"Acacia crassicarpa";596,5;NA
"58";"Acacia dealbata";586,75;NA
"59";"Acacia decurrens";555,75;NA
"60";"Acacia dictyophleba";762;NA
"61";"Acacia difficilis";777;NA
"62";"Acacia doratoxylon";788;NA
"63";"Acacia elata";510;NA
"64";"Acacia erioloba";1059;NA
"65";"Acacia eriopoda";900;NA
"66";"Acacia excelsa";937,5;NA
"67";"Acacia fasciculifera";964;NA
"68";"Acacia ferruginea";880;NA
"69";"Acacia furcatispina";869;NA
"70";"Acacia galpinii";659;NA
"71";"Acacia georginae";775;NA
"72";"Acacia gerrardii";775;NA
"73";"Acacia glaucocarpa";780;NA
"74";"Acacia goetzei";883;NA
"75";"Acacia grasbyi";982;NA
"76";"Acacia harpophylla";896,25;NA
"77";"Acacia hemignosta";646;NA
"78";"Acacia hemsleyi";600;NA
"79";"Acacia hindsii";780;NA
"80";"Acacia holosericea";749;NA
"81";"Acacia implexa";639;NA
"82";"Acacia irrorata";551;NA
"83";"Acacia jennerae";742;NA
"84";"Acacia karroo";689;NA
"85";"Acacia laccata";723;NA
"86";"Acacia lasiocalyx";684;NA
"87";"Acacia leucophloea";450;NA
"88";"Acacia longifolia";510;NA
"89";"Acacia maconochieana";800,5;NA
"90";"Acacia macracantha";730;NA
"91";"Acacia maidenii";620;NA
"92";"Acacia mangium";507;NA
"93";"Acacia mayana";730;NA
"94";"Acacia mearnsii";659,666666666667;NA
"95";"Acacia melanoxylon";530,625;NA
"96";"Acacia mellifera";947;NA
"97";"Acacia modesta";835;NA
"98";"Acacia murrayana";519;NA
"99";"Acacia nilotica";723,333333333333;NA
"100";"Acacia omalophylla";1063;NA
"101";"Acacia oraria";920;NA
"102";"Acacia oshanesii";771;NA
"103";"Acacia oswaldii";976;NA
"104";"Acacia pachycarpa";870;NA
"105";"Acacia pallidifolia";680;NA
"106";"Acacia papyrocarpa";975,333333333333;NA
"107";"Acacia pellita";670;NA
"108";"Acacia pendula";994;NA
"109";"Acacia penninervis";636,5;NA
"110";"Acacia peuce";1227;NA
"111";"Acacia podalyriifolia";680;NA
"112";"Acacia polyacantha";639;NA
"113";"Acacia polyphylla";629,25;NA
"114";"Acacia praecox";765;NA
"115";"Acacia pruinocarpa";939;NA
"116";"Acacia pubescens";617;NA
"117";"Acacia quadrimarginea";922;NA
"118";"Acacia ramulosa";1007;NA
"119";"Acacia resinimarginea";996;NA
"120";"Acacia rhodoxylon";1102;NA
"121";"Acacia richii";700;NA
"122";"Acacia robusta";732;NA
"123";"Acacia salicina";581;NA
"124";"Acacia sclerosperma";860;NA
"125";"Acacia shirleyi";945;NA
"126";"Acacia sibilans";970;NA
"127";"Acacia spectabilis";766;NA
"128";"Acacia stenophylla";764;NA
"129";"Acacia stipuligera";810;NA
"130";"Acacia subtessarogona";1097;NA
"131";"Acacia suma";1210;NA
"132";"Acacia tenuifolia";490;NA
"133";"Acacia tetragonophylla";938;NA
"134";"Acacia tomentosa";510;NA
"135";"Acacia trinervata";758;NA
"136";"Acacia tucumanensis";630;NA
"137";"Acacia victoriae";692;NA
"138";"Acacia visco";688;NA
"139";"Acacia xanthophloea";758;NA
"140";"Acacia xiphophylla";1137;NA
"141";"Acalypha caturus";300;NA
"142";"Acanthosyris falcata";645,5;NA
"143";"Acanthosyris glabrata";600;NA
"144";"Acca sellowiana";750;NA
"145";"Acer buergerianum";620;NA
"146";"Acer caesium";499;NA
"147";"Acer campbellii";499;NA
"148";"Acer campestre";525;NA
"149";"Acer catalpifolium";450;NA
"150";"Acer cultratum";550;NA
"151";"Acer davidii";458;NA
"152";"Acer decandrum";646,4;NA
"153";"Acer laurinum";430;NA
"154";"Acer macrophyllum";440;NA
"155";"Acer mandshuricum";585;NA
"156";"Acer mono";639,25;NA
"157";"Acer negundo";416;NA
"158";"Acer nigrum";520;NA
"159";"Acer niveum";530;NA
"160";"Acer oblongum";603;NA
"161";"Acer pennsylvanicum";440;NA
"162";"Acer pensylvanicum";440;NA
"163";"Acer pictum";629;NA
"164";"Acer platanoides";516,5;NA
"165";"Acer pseudoplatanus";509;NA
"166";"Acer rubrum";490;NA
"167";"Acer saccharinum";440;NA
"168";"Acer saccharum";560;NA
"169";"Acer sterculiaceum";353;NA
"170";"Acer truncatum";590;NA
"171";"Aceratium concinnum";620;NA
"172";"Aceratium doggrellii";525;NA
"173";"Aceratium megalospermum";538;NA
"174";"Aceratium sericeum";420;NA
"175";"Acioa edulis";820;NA
"176";"Acioa guianensis";860;NA
"177";"Acmanthera latifolia";690;NA
"178";"Acmena acuminatissima";630;NA
"179";"Acmena graveolens";512;NA
"180";"Acmena hemilampra";620;NA
"181";"Acmena ingens";456;NA
"182";"Acmena macrocarpa";512;NA
"183";"Acmena resa";676;NA
"184";"Acmena smithii";638;NA
"185";"Acmenosperma claviflorum";758;NA
"186";"Acokanthera oppositifolia";784;NA
"187";"Acosmium dasycarpum";700;NA
"188";"Acosmium nitens";795,666666666667;NA
"189";"Acosmium panamense";810;NA
"190";"Acosmium praeclarum";680;NA
"191";"Acradenia euodiiformis";771;NA
"192";"Acradenia frankliniae";628;NA
"193";"Acrocarpus fraxinifolius";591,5;NA
"194";"Acronychia acidula";551;NA
"195";"Acronychia acronychioides";538;NA
"196";"Acronychia goniocarpa";510;NA
"197";"Acronychia haplophylla";719;NA
"198";"Acronychia laevis";537;NA
"199";"Acronychia melicopoides";538;NA
"200";"Acronychia octandra";551;NA
"201";"Acronychia oligophlebia";370;NA
"202";"Acronychia pedunculata";458,666666666667;NA
"203";"Acronychia porteri";520;NA
"204";"Acronychia pullei";650;NA
"205";"Acronychia trifoliolata";550;NA
"206";"Acronychia vestita";537,333333333333;NA
"207";"Acronychia wilcoxiana";551;NA
"208";"Actinodaphne borneensis";500;NA
"209";"Actinodaphne glabra";520;NA
"210";"Actinodaphne glomerata";410;NA
"211";"Actinodaphne maingayi";590;NA
"212";"Actinodaphne malaccensis";550;NA
"213";"Actinodaphne procera";400;NA
"214";"Actinodaphne sesquipedalis";650;NA
"215";"Actinodaphne sphaerocarpa";460;NA
"216";"Actinostemon lanceolatus";907;NA
"217";"Adansonia digitata";276;NA
"218";"Adelia oaxacana";870;NA
"219";"Adelia triloba";543;NA
"220";"Adenanthera bicolor";850;NA
"221";"Adenanthera intermedia";780;NA
"222";"Adenanthera microsperma";640;NA
"223";"Adenanthera pavonina";687;NA
"224";"Adenanthera tamarindifolia";730;NA
"225";"Adenostoma fasciculatum";750;NA
"226";"Adina cordifolia";590;NA
"227";"Adina globiflora";920;NA
"228";"Adina microcephala";750;NA
"229";"Adina pilulifera";891;NA
"230";"Adina polycephala";681,5;NA
"231";"Adina rubescens";710;NA
"232";"Adina sessilifolia";603;NA
"233";"Adinandra acuminata";480;NA
"234";"Adinandra acutifolia";634;NA
"235";"Adinandra borneensis";480;NA
"236";"Adinandra collina";470;NA
"237";"Adinandra cordifolia";500;NA
"238";"Adinandra dasyantha";460;NA
"239";"Adinandra dumosa";540;NA
"240";"Adinandra forbesii";630;NA
"241";"Adinandra hainanensis";470;NA
"242";"Adinandra integerrima";560;NA
"243";"Adinandra javanica";510;NA
"244";"Adinandra lamponga";530;NA
"245";"Adinandra maculosa";510;NA
"246";"Adinandra millettii";440;NA
"247";"Adinandra polyneura";520;NA
"248";"Adinandra rantepaoensis";400;NA
"249";"Adinandra sarosanthera";530;NA
"250";"Adinandra subauriculata";580;NA
"251";"Adinandra subunguiculata";500;NA
"252";"Adinauclea fagifolia";650;NA
"253";"Adiscanthus fusciflorus";820;NA
"254";"Aegiceras corniculatum";510;NA
"255";"Aegiceras floridum";680;NA
"256";"Aegiphila integrifolia";860;NA
"257";"Aegiphila intermedia";430;NA
"258";"Aegiphila klotzkiana";680;NA
"259";"Aegle marmelos";825,5;NA
"260";"Aesculus chinensis";600;NA
"261";"Aesculus flava";347;NA
"262";"Aesculus hippocastanum";500;NA
"263";"Aesculus indica";465;NA
"264";"Aesculus octandra";330;NA
"265";"Aesculus turbinata";450;NA
"266";"Aetoxylon sympetalum";740;NA
"267";"Afrocrania volkensii";663;NA
"268";"Afzelia africana";692,642857142857;NA
"269";"Afzelia bella";637;NA
"270";"Afzelia bipindensis";731,363636363636;NA
"271";"Afzelia bracteata";680;NA
"272";"Afzelia indet";679,5;NA
"273";"Afzelia javanica";610;NA
"274";"Afzelia pachyloba";683,333333333333;NA
"275";"Afzelia parviflora";679;NA
"276";"Afzelia quanzensis";716;NA
"277";"Afzelia rhomboidea";590;NA
"278";"Agathis alba";380;NA
"279";"Agathis atropurpurea";413;NA
"280";"Agathis australis";450;NA
"281";"Agathis borneensis";383,333333333333;NA
"282";"Agathis dammara";451,5;NA
"283";"Agathis labillardieri";380;NA
"284";"Agathis microstachya";435,5;NA
"285";"Agathis philippinensis";450;NA
"286";"Agathis robusta";400,8;NA
"287";"Agathis vitiensis";450;NA
"288";"Aglaia agglomerata";620;NA
"289";"Aglaia argentea";630;NA
"290";"Aglaia aspera";710;NA
"291";"Aglaia cordata";780;NA
"292";"Aglaia cucullata";552;NA
"293";"Aglaia dasyclada";553,333333333333;NA
"294";"Aglaia edulis";710;NA
"295";"Aglaia elaeagnoidea";630;NA
"296";"Aglaia elliptica";660;NA
"297";"Aglaia exstipulata";800;NA
"298";"Aglaia forbesii";660;NA
"299";"Aglaia grandis";660;NA
"300";"Aglaia griffithii";860;NA
"301";"Aglaia hiernii";500;NA
"302";"Aglaia indet";723;NA
"303";"Aglaia lanceolata";690;NA
"304";"Aglaia lawii";595;NA
"305";"Aglaia leptantha";640;NA
"306";"Aglaia leucophylla";720;NA
"307";"Aglaia luzoniensis";650;NA
"308";"Aglaia macrocarpa";550;NA
"309";"Aglaia maingayi";790;NA
"310";"Aglaia malaccensis";640;NA
"311";"Aglaia merostela";740;NA
"312";"Aglaia multinervis";640;NA
"313";"Aglaia nitidula";689;NA
"314";"Aglaia odoratissima";715;NA
"315";"Aglaia pachyphylla";690;NA
"316";"Aglaia perviridis";810;NA
"317";"Aglaia ridleyi";610;NA
"318";"Aglaia roxburghiana";701,5;NA
"319";"Aglaia rubescens";580;NA
"320";"Aglaia rubiginosa";760;NA
"321";"Aglaia sapindina";420;NA
"322";"Aglaia silvestris";670;NA
"323";"Aglaia simplicifolia";770;NA
"324";"Aglaia spectabilis";575;NA
"325";"Aglaia subcuprea";730;NA
"326";"Aglaia tenuicaulis";730;NA
"327";"Aglaia tomentosa";675;NA
"328";"Aglaia unifoliolata";760;NA
"329";"Aglaia wallichii";554;NA
"330";"Agonandra brasiliensis";817,75;NA
"331";"Agonandra silvatica";830,5;NA
"332";"Agrostistachys borneensis";820;NA
"333";"Agrostistachys gaudichaudii";590;NA
"334";"Aidia micrantha";663;"bouamir_p16_177"
"335";"Aidia ochroleuca";824;NA
"336";"Aidia racemosa";771;NA
"337";"Ailanthus altissima";519,166666666667;NA
"338";"Ailanthus excelsa";400;NA
"339";"Ailanthus integrifolia";305;NA
"340";"Ailanthus peekelii";465;NA
"341";"Ailanthus triphysa";358,2;NA
"342";"Aiouea impressa";370;NA
"343";"Aistopetalum viticoides";760;NA
"344";"Akania bidwillii";573;NA
"345";"Alangium chinense";401,666666666667;NA
"346";"Alangium griffithii";700;NA
"347";"Alangium javanicum";730;NA
"348";"Alangium kurzii";420;NA
"349";"Alangium longiflorum";683;NA
"350";"Alangium maliliense";690;NA
"351";"Alangium nobile";750;NA
"352";"Alangium ridleyi";775;NA
"353";"Alangium salviifolium";800;NA
"354";"Alangium villosum";555,666666666667;NA
"355";"Albizia acle";510;NA
"356";"Albizia adianthifolia";507,5;"upemba_p2_58"
"357";"Albizia amara";740,5;NA
"358";"Albizia antunesiana";693;"upemba_p2_33"
"359";"Albizia brevifolia";801;NA
"360";"Albizia chinensis";300;NA
